LocationAbbr,LocationDesc,Poverty,Obesity,Leisure,Region,Division
AL,Alabama,16.8,36.2,30.7,South,East South Central
AR,Arkansas,17.2,37.1,31,South,West South Central
AZ,Arizona,14,29.5,22.1,West,Mountain
CA,California,12.8,25.8,21,West,Pacific
CO,Colorado,9.6,22.9,16.4,West,Mountain
CT,Connecticut,10.4,27.4,22.4,Northeast,New England
DC,District of Columbia,16.2,24.7,19.6,South,South Atlantic
DE,Delaware,12.5,33.5,26.8,South,South Atlantic
FL,Florida,13.6,30.7,26.8,South,South Atlantic
GA,Georgia,14.3,32.5,26.2,South,South Atlantic
IA,Iowa,11.2,35.3,22.9,Midwest,West North Central
ID,Idaho,11.8,28.4,20.5,West,Mountain
IL,Illinois,12.1,31.8,24.6,Midwest,East North Central
IN,Indiana,13.1,34.1,27.4,Midwest,East North Central
KS,Kansas,12,34.4,22.5,Midwest,West North Central
KY,Kentucky,16.9,36.6,32.4,South,East South Central
LA,Louisiana,18.6,36.8,30.8,South,West South Central
MA,Massachusetts,10,25.7,22.4,Northeast,New England
MD,Maryland,9,30.9,22.9,South,South Atlantic
ME,Maine,11.6,30.4,22.5,Northeast,New England
MI,Michigan,14.1,33,23.8,Midwest,East North Central
MN,Minnesota,9.6,30.1,20.5,Midwest,West North Central
MO,Missouri,13.2,35,26.1,Midwest,West North Central
MS,Mississippi,19.7,39.5,32,South,East South Central
MT,Montana,13,26.9,22.7,West,Mountain
NC,North Carolina,14,33,23.9,South,South Atlantic
ND,North Dakota,10.7,35.1,22.3,Midwest,West North Central
NE,Nebraska,11,34.1,23.8,Midwest,West North Central
NH,New Hampshire,7.6,29.6,21.5,Northeast,New England
NJ,New Jersey,9.5,25.6,28.5,Northeast,Middle Atlantic
NM,New Mexico,19.5,32.3,22.2,West,Mountain
NV,Nevada,12.9,29.5,25,West,Mountain
NY,New York,13.6,27.6,23.8,Northeast,Middle Atlantic
OH,Ohio,13.9,34,25.4,Midwest,East North Central
OK,Oklahoma,15.6,34.8,27.2,South,West South Central
OR,Oregon,12.6,29.9,19.3,West,Pacific
PA,Pennsylvania,12.2,30.9,24,Northeast,Middle Atlantic
RI,Rhode Island,12.9,27.7,25.3,Northeast,New England
SC,South Carolina,15.3,34.3,26.7,South,South Atlantic
SD,South Dakota,13.1,30.1,24,Midwest,West North Central
TN,Tennessee,15.3,34.4,30.9,South,East South Central
TX,Texas,14.9,34.8,25.6,South,West South Central
UT,Utah,9,27.7,17.5,West,Mountain
VA,Virginia,10.7,30.3,22,South,South Atlantic
VT,Vermont,11,27.5,18.9,Northeast,New England
WA,Washington,10.3,28.7,17.6,West,Pacific
WI,Wisconsin,11,32,21.8,Midwest,East North Central
WV,West Virginia,17.8,39.5,28.2,South,South Atlantic
WY,Wyoming,11.1,29,21.7,West,Mountain
